dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score,training_time
rectangle_2d,2,oc1,6,0.9458,0.9529505582137161,0.8493248045486852,0.8981585869973695,13,14,2.0,1.0,0.0,,36.5213086605072
barbell_3d,3,oc1,6,0.9367,0.8226950354609929,0.7517822423849644,0.7856417202844564,13,14,3.0,1.0,0.0,,143.3126826286316
radial_segment_3d,3,oc1,6,0.9239,0.9009531703273933,0.8063798219584569,0.8510471716578587,27,28,3.0,1.0,0.0,,153.54412961006165
saddle_3d,3,oc1,6,0.8916,0.7906976744186046,0.7000895255147717,0.7426400759734093,21,22,3.0,1.0,0.0,,140.85508751869202
barbell_2d,2,wodt,6,0.908,0.7336065573770492,0.7103174603174603,0.7217741935483871,17,18,2.0,1.0,0.0,,0.06576752662658691
sine_wave_2d,2,wodt,6,0.9236,0.0,,,8,9,2.0,1.0,0.0,,0.09564828872680664
star_2d,2,wodt,6,0.845,0.0,,,8,9,2.0,1.0,0.0,,0.13653278350830078
radial_segment_2d,2,wodt,6,0.6828,0.0927367055771725,0.43333333333333335,0.1527777777777778,18,19,2.0,1.0,0.0,,0.1768653392791748
rectangle_2d,2,wodt,6,0.8124,1.0,0.5720802919708029,0.7278003482298318,8,9,2.0,1.0,0.0,,0.1565089225769043
barbell_3d,3,wodt,6,0.859,0.0,,,11,12,3.0,1.0,0.0,,0.33747434616088867
radial_segment_3d,3,wodt,6,0.5441,0.42188147534189807,0.24342419894787184,0.30871872630780894,24,25,3.0,1.0,0.0,,0.35877013206481934
saddle_3d,3,wodt,6,0.7011,0.13953488372093023,0.1765834932821497,0.15588816718441117,21,22,3.0,1.0,0.0,,0.3593780994415283
barbell_2d,2,hhcart,7,0.8373333333333334,0.0,,,9,10,2.0,1.0,0.0,,0.007354021072387695
sine_wave_2d,2,hhcart,7,0.9236,0.0,,,1,2,0.0,0.0,,,0.004682302474975586
star_2d,2,hhcart,7,0.845,0.0,,,11,12,2.0,1.0,0.0,,0.012371540069580078
radial_segment_2d,2,hhcart,7,0.7424,0.3430609597924773,0.6579601990049752,0.4509803921568628,28,29,2.0,1.0,0.0,,0.022682905197143555
